,rec,t0,t1,f0,f1
23560,sabana_seca1-2008-03-28_22-08.flac,31.6429477611,31.7282962378,1961.08949416,3455.25291829
23595,sabana_seca1-2008-03-28_22-08.flac,8.99893001904,9.07894421601,2054.47470817,3361.86770428
23583,sabana_seca1-2008-03-28_22-08.flac,52.7880328799,52.8680470769,1961.08949416,3361.86770428
23556,sabana_seca1-2008-03-28_22-08.flac,27.6422379127,27.7222521096,1961.08949416,3361.86770428
6597,sabana_seca1-2008-04-20_19-44.flac,17.6084576128,17.7311460482,2708.17120623,4015.56420233
6608,sabana_seca1-2008-04-20_19-44.flac,37.0412389165,37.2119358701,2708.17120623,4015.56420233
6641,sabana_seca1-2008-04-20_19-44.flac,15.2507059422,15.3307201391,2988.32684825,4015.56420233
6568,sabana_seca1-2008-04-20_19-44.flac,53.7802089223,54.0469229122,2428.0155642,4295.71984436
2456,sabana_seca1-2008-05-30_20-54.flac,36.9345533206,37.0839131549,2334.63035019,3828.79377432
5926,sabana_seca1-2008-07-20_20-22.flac,50.7183323183,50.8730264325,2334.63035019,4015.56420233
5985,sabana_seca1-2008-07-20_20-22.flac,19.2994243088,19.3634356663,3081.71206226,4015.56420233
5980,sabana_seca1-2008-07-20_20-22.flac,7.96941401805,8.10810529279,2988.32684825,4108.94941634
298,sabana_seca1-2008-09-06_21-47.flac,41.3620055528,41.4260169104,2428.0155642,3922.17898833
338,sabana_seca1-2008-09-06_21-47.flac,30.6454374389,30.6934459571,3175.09727626,4108.94941634
10706,sabana_seca1-2008-09-28_18-27.flac,46.7016196305,46.7816338275,3268.48249027,4295.71984436
10641,sabana_seca1-2008-09-28_18-27.flac,13.4210479715,13.4637222099,2708.17120623,3548.6381323
10632,sabana_seca1-2008-09-28_18-27.flac,55.7912324061,55.9779321991,2614.78599222,4108.94941634
12451,sabana_seca1-2009-08-04_23-00.flac,50.1795700588,50.2382471365,3081.71206226,4108.94941634
12463,sabana_seca1-2009-08-04_23-00.flac,33.5312828095,33.6006284469,3175.09727626,4202.33463035
12399,sabana_seca1-2009-08-04_23-00.flac,52.4199675739,52.5533245688,2428.0155642,3922.17898833
1082,sabana_seca1-2009-09-05_05-30.flac,7.09459213119,7.25462052513,2428.0155642,4202.33463035
1131,sabana_seca1-2009-09-05_05-30.flac,35.5263034539,35.5743119721,3081.71206226,3922.17898833
22079,sabana_seca1-2009-09-25_06-20.flac,17.9978600381,18.0992113542,2614.78599222,3735.40856031
22083,sabana_seca1-2009-09-25_06-20.flac,21.4064648289,21.4651419067,2708.17120623,3735.40856031
8831,sabana_seca1-2009-10-25_06-00.flac,44.5572391518,44.7119332659,2521.40077821,4015.56420233
8833,sabana_seca1-2009-10-25_06-00.flac,17.9551857997,18.077874235,2614.78599222,3922.17898833
9352,sabana_seca1-2010-05-06_20-20.flac,33.5739570479,33.7019797631,2894.94163424,4108.94941634
9357,sabana_seca1-2010-05-06_20-20.flac,29.2638589712,29.3332046086,2988.32684825,4015.56420233
22912,sabana_seca1-2010-08-02_04-20.flac,49.8915189497,50.0515473436,2241.24513619,3735.40856031
4411,sabana_seca1-2011-04-23_19-40.flac,48.9420171456,49.0166970628,2428.0155642,3361.86770428
10302,sabana_seca1-2011-05-24_21-40.flac,44.1411653275,44.2211795245,2801.55642023,3828.79377432
10288,sabana_seca1-2011-05-24_21-40.flac,42.2848359579,42.3115073569,2708.17120623,3455.25291829
10353,sabana_seca1-2011-05-24_21-40.flac,38.6681942549,38.7001999337,2988.32684825,3735.40856031
18861,sabana_seca1-2011-08-06_04-40.flac,59.7652708556,59.8772907313,2614.78599222,3828.79377432
1770,sabana_seca1-2011-11-05_21-00.flac,16.6216158502,16.6909614876,2614.78599222,3642.0233463
1734,sabana_seca1-2011-11-05_21-00.flac,42.7009097821,42.9249495336,2241.24513619,3828.79377432
20615,sabana_seca1-2012-03-21_19-30.flac,20.5103058229,20.6756684966,2241.24513619,3642.0233463
20671,sabana_seca1-2012-03-21_19-30.flac,18.632639334,18.6699792926,2521.40077821,3268.48249027
26708,sabana_seca1-2012-04-24_18-50.flac,1.87233220906,1.95234640603,2147.85992218,3642.0233463
26671,sabana_seca1-2012-04-24_18-50.flac,21.2250993158,21.3851277097,2054.47470817,3922.17898833
26859,sabana_seca1-2012-04-24_18-50.flac,51.598488485,51.6624998426,2894.94163424,4015.56420233
25212,sabana_seca1-2013-06-06_03-10.flac,24.6977154642,24.7457239824,3268.48249027,4202.33463035
11659,sabana_seca1-2013-06-30_05-20.flac,47.9125011446,47.9445068234,2708.17120623,3548.6381323
11689,sabana_seca1-2013-06-30_05-20.flac,40.7912376145,40.8872546508,2988.32684825,4202.33463035
13800,sabana_seca1-2013-11-19_20-20.flac,51.3797830133,51.5078057284,2801.55642023,4015.56420233
13757,sabana_seca1-2013-11-19_20-20.flac,6.37979863828,6.47581567464,2334.63035019,3455.25291829
3104,sabana_seca1-2014-06-27_23-20.flac,4.7955175383,4.90220313426,2521.40077821,3735.40856031
3127,sabana_seca1-2014-06-27_23-20.flac,23.2361227996,23.2681284784,2894.94163424,3642.0233463
3121,sabana_seca1-2014-06-27_23-20.flac,8.78022454733,8.82823306551,2801.55642023,3735.40856031
19885,sabana_seca1-2014-08-03_17-50.flac,19.2887557492,19.3954413451,2708.17120623,3828.79377432
