,rec,idx,x,y,w,h,t0,f0,t1,f1,mux,muy,Sxx,Syy,Sxy,x_max,y_max,Cov,dur,bw,tod,site
16705,sabana_seca1-2013-07-20_02-00.flac,84,9022,168,13,15,48.1258723366,7003.89105058,48.1898836941,8311.28404669,0.0279458943917,7489.13219554,0.000111822816665,85291.7313633,0.540110231452,0.0266713989894,7657.58754864,0.89880952381,0.0640113575747,1307.39299611,2,1
25265,sabana_seca1-2013-06-06_03-10.flac,110,9761,166,14,15,52.0679051072,7190.6614786,52.1372507446,8498.05447471,0.0281140352796,7764.13691605,0.000117316587822,54530.8466767,0.314230566094,0.0213371191916,7750.97276265,0.873626373626,0.0693456373726,1307.39299611,3,1
22258,sabana_seca1-2009-09-25_06-20.flac,224,8537,171,12,14,45.5387466346,6817.12062257,45.5974237124,8031.12840467,0.025611116941,7399.75647608,0.000121726286948,89135.1510454,0.835475902459,0.0213371191916,7377.43190661,0.902097902098,0.0586770777768,1214.0077821,6,1
11842,sabana_seca1-2013-06-30_05-20.flac,353,9870,168,17,16,52.6493416052,6910.50583658,52.7346900819,8311.28404669,0.0427842632447,7521.39673645,0.000280469380175,75291.8043381,-0.293321927013,0.048008518181,7284.04669261,0.795833333333,0.0853484767662,1400.77821012,5,1
4930,sabana_seca1-2008-09-26_12-47.flac,190,10430,172,10,9,55.636538292,7190.6614786,55.6845468102,7937.74319066,0.0186578975449,7489.57631256,7.80502731407e-05,22602.5463428,-0.0339017342732,0.0160028393937,7470.81712062,1.0,0.048008518181,747.081712062,12,1
11838,sabana_seca1-2013-06-30_05-20.flac,349,8640,172,11,12,46.0881774538,6910.50583658,46.1415202517,7937.74319066,0.0245399998635,7403.8066913,5.41691678981e-05,50813.5437116,0.248776912342,0.0213371191916,7284.04669261,0.963636363636,0.0533427979789,1027.23735409,5,1
9767,sabana_seca1-2010-07-25_14-50.flac,94,10076,172,11,10,53.7482032435,7097.27626459,53.8015460415,7937.74319066,0.0225868921035,7467.86529002,0.000104365772442,45193.1767141,0.220022534065,0.0213371191916,7377.43190661,0.955555555556,0.0533427979789,840.46692607,14,1
17939,sabana_seca1-2010-07-28_14-20.flac,378,2668,163,11,17,14.2318585008,7284.04669261,14.2852012987,8778.21011673,0.0222971567878,7886.00407178,5.87335294527e-05,184447.710289,0.0575227585147,0.0213371191916,7377.43190661,0.9875,0.0533427979789,1494.16342412,14,1
25250,sabana_seca1-2013-06-06_03-10.flac,95,4539,172,12,11,24.2122960026,7003.89105058,24.2709730804,7937.74319066,0.0243944204904,7358.09627999,0.000130437861328,50369.3384202,0.562179311181,0.0160028393937,7284.04669261,0.963636363636,0.0586770777768,933.852140078,3,1
1597,sabana_seca1-2013-04-20_15-50.flac,84,10641,160,14,17,56.7620713293,7564.20233463,56.8314169667,9058.36575875,0.0279595435698,8151.00054007,0.000178490704446,143383.990837,-0.596761745191,0.0373399585852,8031.12840467,0.846153846154,0.0693456373726,1494.16342412,15,1
17955,sabana_seca1-2010-07-28_14-20.flac,394,1494,161,14,17,7.96941401805,7470.81712062,8.03875965542,8964.98054475,0.0287037201889,8142.98477951,8.85939969337e-05,86035.0459379,1.1226215837,0.0213371191916,8124.51361868,0.865384615385,0.0693456373726,1494.16342412,14,1
14631,sabana_seca1-2009-04-21_09-20.flac,100,1173,169,13,12,6.25711020292,7190.6614786,6.3211215605,8217.89883268,0.0248785606434,7647.08029036,0.000217220717844,71528.5175239,-0.632372319032,0.0320056787873,7564.20233463,0.666666666667,0.0640113575747,1027.23735409,9,1
18357,sabana_seca1-2013-07-26_12-40.flac,29,3325,160,35,15,17.736480328,7750.97276265,17.9178458411,9058.36575875,0.0870000064641,8303.9547415,0.00274969954335,153926.339447,2.58579478128,0.048008518181,8124.51361868,0.556722689076,0.181365513128,1307.39299611,12,1
9179,sabana_seca1-2009-10-25_06-00.flac,363,3505,171,9,10,18.6966506916,7190.6614786,18.73932493,8031.12840467,0.0174127713919,7536.16790444,6.76924122682e-05,24661.7982606,0.0300069186097,0.0160028393937,7564.20233463,1.0,0.0426742383831,840.46692607,6,1
11903,sabana_seca1-2013-06-30_05-20.flac,414,8325,167,19,12,44.4078793174,7377.43190661,44.5038963538,8404.6692607,0.0464598728934,7810.43394169,0.000663525896018,50277.3815572,2.13358046841,0.0586770777768,7750.97276265,0.757575757576,0.096017036362,1027.23735409,5,1
7819,sabana_seca1-2008-03-29_13-08.flac,184,55,170,19,15,0.293385388884,6817.12062257,0.389402425246,8124.51361868,0.042110600291,7368.42261151,0.000738853929518,133999.634711,-0.122603342918,0.0266713989894,7564.20233463,0.559523809524,0.096017036362,1307.39299611,13,1
16077,sabana_seca1-2010-11-01_08-30.flac,268,816,169,13,13,4.35277231508,7097.27626459,4.41678367265,8217.89883268,0.0298912793172,7634.8384357,0.000304046168653,74623.973523,0.466324460355,0.0320056787873,7564.20233463,0.826388888889,0.0640113575747,1120.62256809,8,1
21730,sabana_seca1-2010-07-19_00-00.flac,105,3466,172,10,11,18.4886137795,7003.89105058,18.5366222977,7937.74319066,0.0200910648021,7382.12214502,9.84453113438e-05,44682.8862354,0.171255288581,0.0213371191916,7470.81712062,0.955555555556,0.048008518181,933.852140078,0,1
11877,sabana_seca1-2013-06-30_05-20.flac,388,6489,164,13,16,34.6141416085,7284.04669261,34.6781529661,8684.82490272,0.0266336902427,7913.56272636,5.67170962798e-05,52969.1400641,0.561155970533,0.0266713989894,8031.12840467,0.911111111111,0.0640113575747,1400.77821012,5,1
22324,sabana_seca1-2009-09-25_06-20.flac,290,6778,166,12,13,36.1557484701,7377.43190661,36.2144255479,8498.05447471,0.0269392852763,7802.83153471,8.66899368878e-05,47163.9639338,0.288169180703,0.0266713989894,7844.35797665,0.909090909091,0.0586770777768,1120.62256809,6,1
18255,sabana_seca1-2012-11-06_03-20.flac,219,9374,169,14,16,50.0035388254,6817.12062257,50.0728844628,8217.89883268,0.0296477797532,7454.95645878,0.000107055704198,81334.5732948,0.557394644765,0.0266713989894,7377.43190661,0.861538461538,0.0693456373726,1400.77821012,3,1
